"model","distribution","sample_size","method","parameter","bias","variance","mse","rmse","successes","replicates","relative_efficiency","variance_reduction","bias_se","bias_ci_lower","bias_ci_upper","variance_se","variance_ci_lower","variance_ci_upper","mse_se","mse_ci_lower","mse_ci_upper","re_se","re_ci_lower","re_ci_upper"
"ARIMA(1,1,0)","Gaussian",100,"CSS","phi1",-0.0159566216851265,0.00553997624130783,0.00579182002878943,0.0761040079679739,2000,2000,1,NA,0.00165963294633039,-0.0191668713687082,-0.0125164536464568,0.000198454800895887,0.00517510333246087,0.00593802972449569,0.000223812065594341,0.00536478427133795,0.00622146925904106,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",100,"OLS","phi1",-0.0159562510958936,0.00553996226579318,0.0057917942336955,0.0761038384951475,2000,2000,1.00000445373107,0,0.00162234395176178,-0.0192240582562865,-0.0128483515799127,0.000198060387764249,0.00515221582628978,0.00592630801308085,0.000221905417758083,0.00538383998089259,0.00627493094606652,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",100,"PMM2","phi1",-0.0136726511721408,0.00592607052038756,0.0061100488752024,0.0781668016180936,2000,2000,0.947917135703367,-6.96951055025106,0.00169867598488267,-0.0170369379901014,-0.0104731883211335,0.000213138689554646,0.00555389745900911,0.00642264106376677,0.000245712450034254,0.00566341597722546,0.00661929485917183,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",100,"M-EST","phi1",-0.0157417697621024,0.00568285104549123,0.00592781293521152,0.0769922914012274,2000,2000,0.97705850236699,-2.57923741792107,0.00165953378124004,-0.0190874112701252,-0.0127515234102717,0.000199791027229154,0.00531697903949475,0.00608293398141124,0.000223579012278567,0.00549374910860245,0.0064022652422009,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",200,"CSS","phi1",-0.00690589814399709,0.00278505626204924,0.00283135516309349,0.0532104798239359,2000,2000,1,NA,0.00114465495003751,-0.00915261934109043,-0.00464500176260778,0.000102963356079015,0.00259389854738257,0.00301053655746979,0.000107339850248422,0.00261757728525714,0.00304540111275445,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",200,"OLS","phi1",-0.00690629692017232,0.00278505351608159,0.00283135792647312,0.0532105057904275,2000,2000,0.999999024009077,0,0.0011853235973929,-0.00922438034174811,-0.00449612193379657,0.000104108759018152,0.00260340193256218,0.00303288837874791,0.000103546342411884,0.0026287340366453,0.00304043343183343,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",200,"PMM2","phi1",-0.00636210467512555,0.00287390675405975,0.00291294617657997,0.0539717164501924,2000,2000,0.971990209039056,-3.1903601659752,0.001156482467683,-0.00864629649296502,-0.00415991659794466,0.000104315383450507,0.00268363207103385,0.00310004166413263,0.000107891408075983,0.00271050096420265,0.0031357551229749,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",200,"M-EST","phi1",-0.00694116840486946,0.00293457651826806,0.00298128904883369,0.0546011817530874,2000,2000,0.949708370008988,-5.36876585398038,0.00118312729140668,-0.0092303682534469,-0.00463348309382758,0.000106567986950471,0.00274237847258202,0.00315266285489078,0.000119262612621851,0.00275554521461334,0.0032227231190011,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",500,"CSS","phi1",-0.00275512835678486,0.00110164834763319,0.00110868825572173,0.0332969706688421,2000,2000,1,NA,0.000759583680416945,-0.0042348359439909,-0.00122637032632996,3.59409916260513e-05,0.00103535456004305,0.00117844888988276,3.70999428182276e-05,0.00103159344286586,0.00118421104190648,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",500,"OLS","phi1",-0.00275510995998158,0.00110164918166102,0.00110868898796177,0.0332969816644358,2000,2000,0.999999339544225,0,0.000763623467561617,-0.0041898649086572,-0.00121182880750092,3.64099057077098e-05,0.001030079382641,0.0011706004505686,3.65975729138871e-05,0.00103670921226741,0.00118271778967198,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",500,"PMM2","phi1",-0.00275358464131287,0.00112793714146422,0.00113495540127037,0.03368909914602,2000,2000,0.976856231073719,-2.38623694737099,0.000741190054778875,-0.00427481064317613,-0.00123521834722827,3.67630955257082e-05,0.00105913849114705,0.00120674850469851,3.77298135658913e-05,0.00106097056591807,0.00121053484174062,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",500,"M-EST","phi1",-0.00251557807632094,0.00117092057918506,0.00117666325195354,0.0343025254457093,2000,2000,0.942230713741631,-6.28797249407496,0.000744091736017763,-0.00398413566790421,-0.00101462626900922,3.84697839857513e-05,0.0011043984945706,0.00125736121806973,3.97851901142509e-05,0.00109988893421648,0.00125717872228254,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",1000,"CSS","phi1",-0.00100296374759883,0.000497223494426729,0.000497980818958514,0.0223154838387724,2000,2000,1,NA,0.000486116271283184,-0.00198220780236226,-0.000110618866518076,1.60311804360062e-05,0.000467110198942849,0.00053075322119313,1.64541105954898e-05,0.000468202754701897,0.000531618115755623,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",1000,"OLS","phi1",-0.00100337846072934,0.000497222213467294,0.000497980370696016,0.0223154737950153,2000,2000,1.00000090016098,0,0.000504824645670731,-0.00194927951714989,5.23746231392512e-05,1.60922120279217e-05,0.000465565710564177,0.000529090421797271,1.68642826720834e-05,0.00046587293160445,0.000528887400350944,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",1000,"PMM2","phi1",-0.000970573191872268,0.000503806997979496,0.000504497106801288,0.022461013040406,2000,2000,0.98708359720021,-1.32431422688948,0.000504180291972666,-0.00197528077199423,-2.6298474010607e-06,1.62398570699337e-05,0.000475885314597335,0.000540108878391811,1.63559686675498e-05,0.000471490469498063,0.000535323098025046,NA,NA,NA
"ARIMA(1,1,0)","Gaussian",1000,"M-EST","phi1",-0.00110313475695521,0.000525322393203936,0.000526276638299337,0.0229407200911248,2000,2000,0.946233943744376,-5.6514328957048,0.000531702232305809,-0.00214794486868482,-8.70997926320174e-05,1.66073509737249e-05,0.000496723283680341,0.000560726496463159,1.66497045232786e-05,0.000494036270491294,0.000560500524731343,NA,NA,NA
"ARIMA(1,1,0)","Gamma",100,"CSS","phi1",-0.0152534495463454,0.00542556416074324,0.00565551910172578,0.0752031854493264,2000,2000,1,NA,0.00169990966325553,-0.0184593244054453,-0.0118506158989056,0.000193329030806214,0.0050573076595545,0.00584563992621034,0.000219113525819068,0.00523842599310941,0.00608753362764418,NA,NA,NA
"ARIMA(1,1,0)","Gamma",100,"OLS","phi1",-0.0152532217979135,0.00542554123478272,0.00565548923938169,0.0752029869046548,2000,2000,1.00000528024064,0,0.00162794700298398,-0.0186517639449981,-0.0123115936922029,0.00019340880924394,0.00507199532146572,0.00582545855658395,0.000209317117764402,0.00523989660771022,0.00604831740495009,NA,NA,NA
"ARIMA(1,1,0)","Gamma",100,"PMM2","phi1",-0.00243446096496071,0.00351827915773646,0.00352244661834751,0.0593502031870786,2000,2000,1.60556559530744,35.1533975047311,0.00135810705077297,-0.00504191110372264,0.000420174235040571,0.000125612330829895,0.00328386835889158,0.00378045111861963,0.000122751368181043,0.00329691539957023,0.00375949447911022,NA,NA,NA
"ARIMA(1,1,0)","Gamma",100,"M-EST","phi1",-0.0106892072911932,0.00487256562641208,0.00498438849611297,0.0706002018135428,2000,2000,1.13464652808187,10.19208194061,0.00151790974390332,-0.0136427941642896,-0.00774920149322461,0.000176521599692359,0.00452436350191405,0.00523026062574866,0.00018133208947959,0.00462269046459118,0.00533165928131611,NA,NA,NA
"ARIMA(1,1,0)","Gamma",200,"CSS","phi1",-0.00559173023632874,0.00266462898464917,0.00269456411719271,0.0519091910666378,2000,2000,1,NA,0.0011350868591597,-0.007771501728715,-0.00341397002444432,9.36582131497737e-05,0.00248126145795186,0.00284174754785794,9.83822913084598e-05,0.00251518256899062,0.0029042009347901,NA,NA,NA
"ARIMA(1,1,0)","Gamma",200,"OLS","phi1",-0.00559160824612654,0.00266462942296266,0.00269456319102934,0.051909182145641,2000,2000,1.00000034371559,0,0.00118557901227199,-0.00798457163121202,-0.00340872472847044,9.31226337445951e-05,0.00249780830332736,0.0028613508476396,9.37426312064021e-05,0.00251764941096731,0.00289040054007399,NA,NA,NA
"ARIMA(1,1,0)","Gamma",200,"PMM2","phi1",-4.06097310257155e-05,0.0016326911348746,0.00163187643845742,0.0403964904225283,2000,2000,1.65120596982197,38.727272137553,0.000894759540417214,-0.00182960100103803,0.00179329206419659,5.6290903376996e-05,0.00152796803984926,0.00174956564465726,5.58947394054443e-05,0.00152443708916921,0.00174132161973976,NA,NA,NA
"ARIMA(1,1,0)","Gamma",200,"M-EST","phi1",-0.00377833238757355,0.00234265170713403,0.00235575617691145,0.0485361326942254,2000,2000,1.14382131037239,12.0833956517166,0.00106986924683397,-0.00584686947640287,-0.00175315463243995,8.10212108922657e-05,0.00219911050926731,0.00253023940248222,8.34918394219323e-05,0.0022013865092269,0.00252404799961299,NA,NA,NA
"ARIMA(1,1,0)","Gamma",500,"CSS","phi1",-0.00308898894725096,0.00105444933972012,0.0010634639677665,0.0326107952642449,2000,2000,1,NA,0.000732974904332794,-0.00440098824584604,-0.00159517033180321,3.37455826844065e-05,0.000995526306748652,0.0011288663531875,3.46994838937437e-05,0.000997167602757768,0.00113493694521292,NA,NA,NA
"ARIMA(1,1,0)","Gamma",500,"OLS","phi1",-0.00308907789024585,0.00105445732446023,0.00106347249801,0.0326109260526285,2000,2000,0.999991978877194,0,0.00071915062561388,-0.00440846239364625,-0.0016300148511837,3.26702560168971e-05,0.000995736765060757,0.00112840242239645,3.43450445964502e-05,0.00099375454806959,0.00113109795307926,NA,NA,NA
"ARIMA(1,1,0)","Gamma",500,"PMM2","phi1",-0.000320612719443547,0.000609521475230207,0.00060931950700846,0.0246843980483313,2000,2000,1.74533057867739,42.1957189645188,0.000554795906353256,-0.00145987547956719,0.000719988185277925,1.87805270429455e-05,0.000573823015620808,0.00065024738381053,1.955999186781e-05,0.000571686403117738,0.000648653563519934,NA,NA,NA
"ARIMA(1,1,0)","Gamma",500,"M-EST","phi1",-0.00205664458898222,0.000888702074777024,0.000892487510705025,0.029874529464161,2000,2000,1.19157294080946,15.7194839315147,0.000659349421623867,-0.00337171673492334,-0.00078127595784165,2.78725229879318e-05,0.000838922559334616,0.000949506809878242,2.82146406266652e-05,0.000836860011516382,0.000945587521478659,NA,NA,NA
"ARIMA(1,1,0)","Gamma",1000,"CSS","phi1",-0.00142906039906281,0.00049749205899673,0.000499285526591401,0.0223446979525659,2000,2000,1,NA,0.000492662904147945,-0.00235451569527685,-0.00046783114636858,1.61009818426969e-05,0.000468391339513429,0.000530248374983288,1.56782914276889e-05,0.000468022045855841,0.000529322630066739,NA,NA,NA
"ARIMA(1,1,0)","Gamma",1000,"OLS","phi1",-0.00142930682617921,0.000497489708343918,0.000499283881493109,0.022344661140709,2000,2000,1.00000329491568,0,0.000485018248477818,-0.00235057979113694,-0.000504838036596028,1.56652672704347e-05,0.000468757553027282,0.000530929948450119,1.50218654655958e-05,0.000469709096629469,0.00053043527998969,NA,NA,NA
"ARIMA(1,1,0)","Gamma",1000,"PMM2","phi1",0.000196319872729001,0.000306955718363751,0.000306840781996997,0.0175168713529842,2000,2000,1.62718111765302,38.2990817266213,0.000384969375101716,-0.000580116734272978,0.000928856794897436,8.95331847184821e-06,0.00029036118222568,0.000325862513164325,9.10196594428217e-06,0.000289925776736782,0.000325636920882291,NA,NA,NA
"ARIMA(1,1,0)","Gamma",1000,"M-EST","phi1",-0.000603219147499891,0.000424323808825859,0.000424475520261356,0.0206028036990444,2000,2000,1.17624103807914,14.7070177113049,0.000454841749925349,-0.00150938481427039,0.000260175221945529,1.28696555792891e-05,0.000399917503580118,0.000450536451134471,1.32829129614084e-05,0.000397607847809825,0.000449212314526098,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",100,"CSS","phi1",-0.0119504655150909,0.00508771434862275,0.00522798411747581,0.0723048000998261,2000,2000,1,NA,0.0015986912852833,-0.0150613212185307,-0.00881899477403288,0.000154089292458195,0.00481493776305381,0.00542706468467857,0.000169875285320625,0.00491185330740677,0.00556970767990704,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",100,"OLS","phi1",-0.0119499806874758,0.00508770053588209,0.00522795872404518,0.0723046244997178,2000,2000,1.00000485723625,0,0.00159235105169131,-0.0152329862090718,-0.00879542119318102,0.000160040999644632,0.00478753789482563,0.0054153769229129,0.000172223615289246,0.00488629014399357,0.00560303899687112,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",100,"PMM2","phi1",0.00080237485997989,0.00297266286691889,0.00297182034090135,0.0545144048935816,2000,2000,1.75918579112025,41.5715833517805,0.00127074400232715,-0.00166132515480597,0.00324838038045982,9.93758000737796e-05,0.00277605787230907,0.00318138989065275,9.98731852741306e-05,0.00277818103138852,0.00317957019763151,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",100,"M-EST","phi1",-0.00635590408347285,0.00435834513994233,0.00439656348409067,0.0663065870339491,2000,2000,1.18910693235608,14.3356589248094,0.00146010067809671,-0.00920899110887868,-0.00360804064494294,0.000148066956312972,0.00408659910163708,0.00468481059651173,0.000138274625879164,0.00413843001449022,0.00466773059399283,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",200,"CSS","phi1",-0.00533009646381499,0.00239369281672212,0.00242090589862733,0.0492027021476192,2000,2000,1,NA,0.00106383965665503,-0.0073077017861307,-0.00326742664441209,7.63278408196928e-05,0.00224372867207662,0.00254492683537492,7.72740817132365e-05,0.00227944360561036,0.00258186531208929,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",200,"OLS","phi1",-0.00533001634234511,0.00239367696947805,0.00242088920520298,0.0492025325080222,2000,2000,1.00000689557552,0,0.00111151733928897,-0.00746225000293609,-0.00306041414519644,7.5511105575008e-05,0.0022436558400125,0.00253834193622599,7.93105340563488e-05,0.00226442222449887,0.00257772051746201,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",200,"PMM2","phi1",0.00114632489766584,0.0014017674464502,0.00140238062349799,0.037448372775035,2000,2000,1.72628304902617,41.4387377944376,0.000881168037155237,-0.000649117914641676,0.00292222349826342,4.40309748383971e-05,0.00131702728945996,0.00149135256927141,4.62644889237194e-05,0.00131688385079394,0.00149730332958118,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",200,"M-EST","phi1",-0.00206124959913938,0.00199879461661249,0.00200204396921413,0.0447442059848438,2000,2000,1.20921714800181,16.4968940212374,0.000998745838102923,-0.00396917144701099,7.770052707533e-05,6.57551079142085e-05,0.00188123825628439,0.00213789553384117,6.45117041934478e-05,0.00187776187854041,0.00213533094074856,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",500,"CSS","phi1",-0.00311661994614456,0.0010096816426681,0.00101889012173547,0.0319200582978082,2000,2000,1,NA,0.000687600513480914,-0.0045359819871962,-0.00178306883441201,3.13153723841919e-05,0.000948845183208866,0.0010726886789209,3.25295465864057e-05,0.0009569189776499,0.00108085798093138,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",500,"OLS","phi1",-0.00311628776493959,0.00100968219938126,0.00101888860771549,0.0319200345819908,2000,2000,1.00000148595242,0,0.000736968094975353,-0.00460966240195118,-0.00174517878266398,3.19847237280362e-05,0.000949392420659197,0.00107316353278558,3.1815285761649e-05,0.000956195628471239,0.00108034951441464,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",500,"PMM2","phi1",-0.000509853582543446,0.000594142372448565,0.000594105251937973,0.0243742743879274,2000,2000,1.7149993513975,41.1555068701164,0.000538686419750778,-0.00154699329540922,0.000544607652181505,1.80851260268383e-05,0.000560295604932518,0.000630656371300328,1.84755930568755e-05,0.000556814814730968,0.000632005425391519,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",500,"M-EST","phi1",-0.00205991600710859,0.000800505053494096,0.00080434805492369,0.0283610305687873,2000,2000,1.26672789907118,20.7171272322472,0.000626721078312984,-0.00334264334545937,-0.000842898796041416,2.4231241996751e-05,0.00075421311764441,0.000849733425254565,2.46051706734658e-05,0.000759822893699475,0.000852435991258302,NA,NA,NA
"ARIMA(1,1,0)","Lognormal",1000,"CSS","phi1",-0.00108124450013485,0.0005014729090015,0.00050239126221607,0.0224140862453965,2000,2000,1,NA,0.000524259759002075,-0.00212458124673549,-4.47373691591781e-05,1.6250018145031e-05,0.000468963108025874,0.000532152567743907,1.5610531857155e-05,0.000472238155475198,0.000534650088519537,NA,NA,NA
